"Country","Code","id","CO2","CO2CAPITA","ENERGY","ENERGYCAPITA","GDP","GDPCAPITA"
"Jordan","JOR","400","Highest was 2014","Highest was 2014","Highest was 2014","From 2000 to 2007","Highest was 2014","Highest was 2014"
"Kazakhstan","KAZ","398","From 1990 to 1999","From 1990 to 1999","From 2008 to 2013","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Kenya","KEN","404","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Kosovo","KOSOVO","-02","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Kuwait","KWT","414","Highest was 2014","Before 1990","From 2008 to 2013","From 2000 to 2007","Highest was 2014","Before 1990"
"Kyrgyzstan","KGZ","417","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","From 1990 to 1999"
"Latvia","LVA","428","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 2000 to 2007","Highest was 2014"
"Lebanon","LBN","422","Highest was 2014","From 1990 to 1999","Highest was 2014","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Libya","LBY","434","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Before 1990"
"Lithuania","LTU","440","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Luxembourg","LUX","442","Before 1990","Before 1990","Before 1990","Before 1990","Highest was 2014","From 2000 to 2007"
"Malaysia","MYS","458","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Malta","MLT","470","From 1990 to 1999","From 1990 to 1999","From 2000 to 2007","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Mauritius","MAURITIUS","480","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Mexico","MEX","484","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2000 to 2007","Highest was 2014","Highest was 2014"
"Moldova","MDA","498","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999"
"Mongolia","MNG","496","From 2008 to 2013","Before 1990","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Montenegro","MNE","499","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Morocco","MAR","504","Highest was 2014","From 2008 to 2013","Highest was 2014","From 2008 to 2013","Highest was 2014","Highest was 2014"
